Field_ID,Elevation,Latitude,Longitude,Location,Slope,Rainfall,Min_temperature_C,Max_temperature_C,Ave_temps,Soil_fertility,Soil_type,pH,Pollution_level,Plot_size,Annual_yield,Crop_type,Standard_yield
40734,786.0558,-7.389911080195735,-7.556202472076428,Rural_Akatsi,14.795113,1125.2,-3.1,33.1,15.0,0.62,Sandy,6.16939303846438,0.0852668430903311,1.3,0.7513536727525394,Cassava,0.5779643636557995
30629,674.3341,-7.736849459237079,-1.051539153607483,Rural_Sokoto,11.374611,1450.7,-3.9,30.6,13.35,0.64,Volcanic,5.676647602455388,0.3996837617098369,2.2,1.069864810528471,Cassava,0.4863021866038506
39924,826.5339,-9.926616371108418,0.1151559983893706,Rural_Sokoto,11.339692,2208.9,-1.800000000000001,28.4,13.3,0.69,Volcanic,5.331992990569844,0.3580285530417731,3.4,2.208801077059066,Tea,0.6496473756056078
5754,574.94617,-2.420131442759342,-6.592214971970919,Rural_Kilimani,7.109855,328.8,-5.8,32.2,13.2,0.54,Loamy,5.328149652613495,0.2866871285527406,2.4,1.277635135637769,Cassava,0.5323479731824039
14146,886.353,-3.055434188796088,-7.952608546886169,Rural_Kilimani,55.007656,785.2,-2.5,31.0,14.25,0.72,Sandy,5.721233805709933,0.0431902746025795,1.5,0.8326139707528435,Wheat,0.5550759805018957
5304,850.56647,-2.050664597546483,-7.132768710347839,Rural_Kilimani,50.45125,649.4,-3.0,29.5,13.25,0.7,Sandy,5.484350233870995,0.1275280259328365,1.7,1.112610943558565,Potato,0.6544770256226855
429,331.35538,-13.40951724122477,-6.722848792078675,Rural_Hawassa,5.907423,1586.0,-6.8,31.8,12.5,0.63,Silt,7.061316546900067,4.315457451400656e-07,2.9,0.9943251211595724,Banana,0.3428707314343353
672,790.73846,-3.785356492753202,-1.470468300849596,Rural_Kilimani,15.380596,1188.3,-3.0,31.0,14.0,0.63,Sandy,4.577042710453545,0.6131073815302063,1.4,0.5588991667187745,Tea,0.3992136905134104
26124,742.7218,-10.23750920427534,-0.7362161395542792,Rural_Sokoto,3.4318435,2143.3,-2.6,28.2,12.8,0.66,Volcanic,5.447320501794685,0.278479232333261,13.9,8.53266459580238,Coffee,0.6138607622879411
44050,747.3803,-3.767333719815989,-3.105643359439781,Rural_Kilimani,8.239554,796.6,-3.8,32.7,14.45,0.58,Sandy,4.897414401815874,0.3103862353298307,4.6,2.214679129460039,Cassava,0.4814519846652259
22734,756.9202,-7.538598956927739,-0.5785546325276771,Rural_Sokoto,9.371509,1544.7,-3.1,30.5,13.7,0.64,Volcanic,5.831128627497049,0.4451286628448371,3.2,1.516281325855587,Coffee,0.473837914329871
16655,393.8345,-12.85531697340548,-8.159820813263988,Rural_Akatsi,36.34067,1753.3,-6.3,31.8,12.75,0.74,Silt,6.254509163012349,0.0039918202247622,1.9,0.9368052485008556,Banana,0.4930553939478187
32297,660.6827,-2.640910411240197,-3.839895520735098,Rural_Kilimani,8.705346,612.7,-4.7,29.8,12.55,0.57,Sandy,5.491848254369653,0.1890157424991756,4.2,2.606619085416844,Potato,0.6206235917659152
24164,790.90894,-8.822721528704143,-7.421064037482197,Rural_Akatsi,17.159893,1575.0,-2.8,31.6,14.4,0.66,Volcanic,5.555430182144888,0.0516251161209078,1.1,0.7931933781680391,Tea,0.7210848892436719
